,suv_name,suv_features
0,SPORT PLATINUM,38인치 커브드 OLED 디스플레이
1,SPORT PLATINUM,AKG® 스튜디오 레퍼런스 사운드 시스템 (36개 스피커)
2,SPORT PLATINUM,듀얼 12.6인치 디스플레이 리어 엔터테인먼트 시스템
3,SPORT PLATINUM,액티브 에어 댐 디플랙터
4,SPORT PLATINUM,리어 카메라 미러
5,SPORT PLATINUM,콘솔 쿨러 (냉동기능 포함)
6,SPORT PLATINUM,파노라마 선루프
7,SPORT PLATINUM,전동식 사이드 스텝
8,SPORT PLATINUM,에어라이드 어댑티브 서스펜션
9,SPORT PLATINUM,어댑티브 크루즈 컨트롤
10,SPORT PLATINUM,풀컬러 헤드업 디스플레이1)
11,SPORT PLATINUM,HD 서라운드 비전1)
12,SPORT PLATINUM,나이트 비전1)
13,SPORT PLATINUM,인핸스드 자동 주차 보조 시스템1)
14,SPORT PLATINUM,"갈바노 : 그릴, 전면 페시아 트림, 루프 랙, 윈도우 트림, 도어 핸들, 바디 사이드 몰딩, 리프트게이트 트림 및 배기구 베젤"
15,SPORT PLATINUM,22인치 10-스포크 폴리쉬 알로이 휠 (다크 안드로이드 마감 레이져 에칭)
16,SPORT PLATINUM,38인치 커브드 OLED 디스플레이
17,SPORT PLATINUM,AKG® 스튜디오 레퍼런스 사운드 시스템 (36개 스피커)
18,SPORT PLATINUM,듀얼 12.6인치 디스플레이 리어 엔터테인먼트 시스템
19,SPORT PLATINUM,액티브 에어 댐 디플랙터
20,SPORT PLATINUM,리어 카메라 미러
21,SPORT PLATINUM,콘솔 쿨러 (냉동기능 포함)
22,SPORT PLATINUM,파노라마 선루프
23,SPORT PLATINUM,전동식 사이드 스텝
24,SPORT PLATINUM,에어라이드 어댑티브 서스펜션
25,SPORT PLATINUM,어댑티브 크루즈 컨트롤
26,SPORT PLATINUM,풀컬러 헤드업 디스플레이1)
27,SPORT PLATINUM,HD 서라운드 비전1)
28,SPORT PLATINUM,나이트 비전1)
29,SPORT PLATINUM,인핸스드 자동 주차 보조 시스템1)
30,SPORT PLATINUM,"글로스-블랙 : 그릴, 전면 페시아 트림, 루프 랙, 윈도우 트림, (바디 컬러) 도어 핸들, 바디 사이드 몰딩, 리프트게이트 트림 및 배기구 베젤"
31,SPORT PLATINUM,22인치 12-스포크 폴리쉬 알로이 휠 (다크 안드로이드 마감)
